Player,Team
Sidney Crosby,Pittsburgh Penguins
Ryan Getzlaf,Anaheim Ducks
Claude Giroux,Philadelphia Flyers
Tyler Seguin,Dallas Stars
Corey Perry,Anaheim Ducks
Taylor Hall,Edmonton Oilers
Phil Kessel,Toronto Maple Leafs
Nicklas Bäckström,Washington Capitals
Jamie Benn,Dallas Stars
Alex Ovechkin,Washington Capitals
Joe Pavelski,San Jose Sharks
Patrick Sharp,Chicago Blackhawks
Joe Thornton,San Jose Sharks
Erik Karlsson,Ottawa Senators
Evgeni Malkin,Pittsburgh Penguins
