Player,Team
Jamie Benn,Dallas Stars
John Tavares,New York Islanders
Sidney Crosby,Pittsburgh Penguins
Alex Ovechkin,Washington Capitals
Jakub Voráček,Philadelphia Flyers
Nicklas Bäckström,Washington Capitals
Tyler Seguin,Dallas Stars
Jiří Hudler,Calgary Flames
Daniel Sedin,Vancouver Canucks
Nick Foligno,Columbus Blue Jackets
Claude Giroux,Philadelphia Flyers
Henrik Sedin,Vancouver Canucks
Vladimir Tarasenko,St. Louis Blues
Tyler Johnson,Tampa Bay Lightning
Steven Stamkos,Tampa Bay Lightning
