Player,Team
Connor McDavid,Edmonton Oilers
Leon Draisaitl,Edmonton Oilers
Nikita Kucherov,Tampa Bay Lightning
David Pastrňák,Boston Bruins
Nathan MacKinnon,Colorado Avalanche
Jason Robertson,Dallas Stars
Matthew Tkachuk,Florida Panthers
Mikko Rantanen,Colorado Avalanche
Ryan Nugent-Hopkins,Edmonton Oilers
Elias Pettersson,Vancouver Canucks
Erik Karlsson,San Jose Sharks
Jack Hughes,New Jersey Devils
Mitch Marner,Toronto Maple Leafs
Brayden Point,Tampa Bay Lightning
Tage Thompson,Buffalo Sabres
