Player,Team
Martin St. Louis,Tampa Bay Lightning
Steven Stamkos,Tampa Bay Lightning
Sidney Crosby,Pittsburgh Penguins
Alex Ovechkin,Washington Capitals
Patrick Kane,Chicago Blackhawks
Eric Staal,Carolina Hurricanes
Phil Kessel,Toronto Maple Leafs
Chris Kunitz,Pittsburgh Penguins
Taylor Hall,Edmonton Oilers
Pavel Datsyuk,Detroit Red Wings
Ryan Getzlaf,Anaheim Ducks
Mike Ribeiro,Washington Capitals
Nicklas Bäckström,Washington Capitals
Claude Giroux,Philadelphia Flyers
Jonathan Toews,Chicago Blackhawks
