Player,Team
Connor McDavid,Edmonton Oilers
Sidney Crosby,Pittsburgh Penguins
Patrick Kane,Chicago Blackhawks
Nicklas Bäckström,Washington Capitals
Nikita Kucherov,Tampa Bay Lightning
Brad Marchand,Boston Bruins
Mark Scheifele,Winnipeg Jets
Leon Draisaitl,Edmonton Oilers
Brent Burns,San Jose Sharks
Vladimir Tarasenko,St. Louis Blues
Artemi Panarin,Chicago Blackhawks
Blake Wheeler,Winnipeg Jets
Ryan Getzlaf,Anaheim Ducks
Victor Hedman,Tampa Bay Lightning
Evgeni Malkin,Pittsburgh Penguins
