Player,Team
Nikita Kucherov,Tampa Bay Lightning
Connor McDavid,Edmonton Oilers
Patrick Kane,Chicago Blackhawks
Leon Draisaitl,Edmonton Oilers
Sidney Crosby,Pittsburgh Penguins
Brad Marchand,Boston Bruins
Johnny Gaudreau,Calgary Flames
Nathan MacKinnon,Colorado Avalanche
Steven Stamkos,Tampa Bay Lightning
Aleksander Barkov,Florida Panthers
Mitch Marner,Toronto Maple Leafs
Jonathan Huberdeau,Florida Panthers
Brayden Point,Tampa Bay Lightning
Blake Wheeler,Winnipeg Jets
Alex Ovechkin,Washington Capitals
