Player,Team
Patrick Kane,Chicago Blackhawks
Jamie Benn,Dallas Stars
Sidney Crosby,Pittsburgh Penguins
Erik Karlsson,Ottawa Senators
Joe Thornton,San Jose Sharks
Johnny Gaudreau,Calgary Flames
Joe Pavelski,San Jose Sharks
Blake Wheeler,Winnipeg Jets
Evgeny Kuznetsov,Washington Capitals
Artemi Panarin,Chicago Blackhawks
Brent Burns,San Jose Sharks
Anže Kopitar,Los Angeles Kings
Vladimir Tarasenko,St. Louis Blues
Tyler Seguin,Dallas Stars
Alex Ovechkin,Washington Capitals
