Player,Team
Connor McDavid,Edmonton Oilers
Claude Giroux,Philadelphia Flyers
Nikita Kucherov,Tampa Bay Lightning
Evgeni Malkin,Pittsburgh Penguins
Nathan MacKinnon,Colorado Avalanche
Taylor Hall,New Jersey Devils
Phil Kessel,Pittsburgh Penguins
Anže Kopitar,Los Angeles Kings
Blake Wheeler,Winnipeg Jets
Sidney Crosby,Pittsburgh Penguins
Alex Ovechkin,Washington Capitals
Steven Stamkos,Tampa Bay Lightning
Mathew Barzal,New York Islanders
Brad Marchand,Boston Bruins
Jakub Voráček,Philadelphia Flyers
