H,V,HRk,HAvAge,HGP,HW,HL,HOL,HPTS,HPTS%,HGF,HGA,HSOW,HSOL,HSRS,HSOS,HGF/G,HGA/G,HPP,HPPO,HPP%,HPPA,HPPOA,HPK%,HSH,HSHA,HPIM/G,HoPIM/G,HS,HS%,HSA,HSV%,HSO,HCAN,CAP,LCAP,HSTAR,VRk,VAvAge,VGP,VW,VL,VOL,VPTS,VPTS%,VGF,VGA,VSOW,VSOL,VSRS,VSOS,VGF/G,VGA/G,VPP,VPPO,VPP%,VPPA,VPPOA,VPK%,VSH,VSHA,VPIM/G,VoPIM/G,VS,VS%,VSA,VSV%,VSO,VCAN,VSTAR,MDAY,TDAY,WDAY,ThDAY,FDAY,SDAY,SuDAY,DIV
New York Rangers,Dallas Stars,1.0,29.1,82,55,23,4,114,0.695,278,226,4.0,3.0,0.61,-0.03,3.39,2.76,65,246,26.42,36,232,84.48,8,6,9.4,10.4,2582,10.8,2418,0.907,6,0,18006,9.798460314668421,1,2.0,29.3,82,52,21,9,113,0.689,294,232,4.0,2.0,0.74,-0.04,3.59,2.83,58,240,24.17,43,239,82.01,12,4,6.8,7.5,2588,11.4,2350,0.901,4,0,0,0,0,0,0,0,0,0,0
New York Rangers,Carolina Hurricanes,1.0,29.1,82,55,23,4,114,0.695,278,226,4.0,3.0,0.61,-0.03,3.39,2.76,65,246,26.42,36,232,84.48,8,6,9.4,10.4,2582,10.8,2418,0.907,6,0,18006,9.798460314668421,1,3.0,29.4,82,52,23,7,111,0.677,277,211,2.0,5.0,0.73,-0.04,3.38,2.57,67,249,26.91,35,258,86.43,11,8,8.5,8.0,2733,10.1,2101,0.9,8,0,0,0,0,0,0,0,0,0,1
New York Rangers,Winnipeg Jets,1.0,29.1,82,55,23,4,114,0.695,278,226,4.0,3.0,0.61,-0.03,3.39,2.76,65,246,26.42,36,232,84.48,8,6,9.4,10.4,2582,10.8,2418,0.907,6,0,18006,9.798460314668421,1,4.0,29.4,82,52,24,6,110,0.671,259,198,0.0,1.0,0.69,-0.04,3.16,2.41,45,240,18.75,51,223,77.13,3,5,8.2,8.9,2488,10.4,2429,0.918,8,1,0,0,0,0,0,0,0,0,0
New York Rangers,Florida Panthers,1.0,29.1,82,55,23,4,114,0.695,278,226,4.0,3.0,0.61,-0.03,3.39,2.76,65,246,26.42,36,232,84.48,8,6,9.4,10.4,2582,10.8,2418,0.907,6,0,18006,9.798460314668421,1,5.0,29.5,82,52,24,6,110,0.671,265,198,3.0,2.0,0.81,-0.02,3.23,2.41,63,268,23.51,51,291,82.47,8,9,13.6,13.5,2764,9.6,2279,0.913,8,0,1,0,0,0,0,0,0,0,0
New York Rangers,Boston Bruins,1.0,29.1,82,55,23,4,114,0.695,278,226,4.0,3.0,0.61,-0.03,3.39,2.76,65,246,26.42,36,232,84.48,8,6,9.4,10.4,2582,10.8,2418,0.907,6,0,18006,9.798460314668421,1,6.0,28.6,82,47,20,15,109,0.665,263,221,4.0,3.0,0.53,0.01,3.21,2.7,54,243,22.22,47,268,82.46,7,6,9.5,8.8,2399,11.0,2504,0.912,5,0,1,0,0,0,0,0,0,0,0
New York Rangers,Vancouver Canucks,1.0,29.1,82,55,23,4,114,0.695,278,226,4.0,3.0,0.61,-0.03,3.39,2.76,65,246,26.42,36,232,84.48,8,6,9.4,10.4,2582,10.8,2418,0.907,6,0,18006,9.798460314668421,1,7.0,28.6,82,50,23,9,109,0.665,279,221,0.0,2.0,0.64,-0.04,3.4,2.7,58,257,22.57,53,254,79.13,7,7,9.6,9.7,2328,12.0,2343,0.906,7,1,1,0,0,0,0,0,0,0,0
New York Rangers,Colorado Avalanche,1.0,29.1,82,55,23,4,114,0.695,278,226,4.0,3.0,0.61,-0.03,3.39,2.76,65,246,26.42,36,232,84.48,8,6,9.4,10.4,2582,10.8,2418,0.907,6,0,18006,9.798460314668421,1,8.0,28.8,82,50,25,7,107,0.652,302,252,2.0,2.0,0.57,-0.05,3.68,3.07,68,278,24.46,53,264,79.92,7,6,8.9,9.7,2705,11.2,2444,0.897,4,0,1,0,0,0,0,0,0,0,0
New York Rangers,Edmonton Oilers,1.0,29.1,82,55,23,4,114,0.695,278,226,4.0,3.0,0.61,-0.03,3.39,2.76,65,246,26.42,36,232,84.48,8,6,9.4,10.4,2582,10.8,2418,0.907,6,0,18006,9.798460314668421,1,9.0,29.4,82,49,27,6,104,0.634,292,236,2.0,1.0,0.65,-0.04,3.56,2.88,64,243,26.34,53,258,79.46,7,5,9.5,8.5,2768,10.5,2307,0.898,4,1,1,0,0,0,0,0,0,0,0
New York Rangers,Toronto Maple Leafs,1.0,29.1,82,55,23,4,114,0.695,278,226,4.0,3.0,0.61,-0.03,3.39,2.76,65,246,26.42,36,232,84.48,8,6,9.4,10.4,2582,10.8,2418,0.907,6,0,18006,9.798460314668421,1,10.0,28.9,82,46,26,10,102,0.622,298,261,5.0,2.0,0.5,0.01,3.63,3.18,57,238,23.95,55,238,76.89,6,9,9.9,10.2,2671,11.2,2446,0.893,5,1,1,0,0,0,0,0,0,0,0
New York Rangers,Nashville Predators,1.0,29.1,82,55,23,4,114,0.695,278,226,4.0,3.0,0.61,-0.03,3.39,2.76,65,246,26.42,36,232,84.48,8,6,9.4,10.4,2582,10.8,2418,0.907,6,0,18006,9.798460314668421,1,11.0,29.5,82,47,30,5,99,0.604,266,248,3.0,0.0,0.23,-0.02,3.24,3.02,58,269,21.56,57,247,76.92,7,5,9.7,9.5,2642,10.1,2507,0.901,4,0,1,0,0,0,0,0,0,0,0
New York Rangers,Los Angeles Kings,1.0,29.1,82,55,23,4,114,0.695,278,226,4.0,3.0,0.61,-0.03,3.39,2.76,65,246,26.42,36,232,84.48,8,6,9.4,10.4,2582,10.8,2418,0.907,6,0,18006,9.798460314668421,1,12.0,29.5,82,44,27,11,99,0.604,254,210,2.0,5.0,0.45,-0.05,3.1,2.56,56,248,22.58,39,253,84.58,11,7,8.7,9.5,2616,9.7,2296,0.909,7,0,0,0,0,0,0,0,0,0,0
New York Rangers,Tampa Bay Lightning,1.0,29.1,82,55,23,4,114,0.695,278,226,4.0,3.0,0.61,-0.03,3.39,2.76,65,246,26.42,36,232,84.48,8,6,9.4,10.4,2582,10.8,2418,0.907,6,0,18006,9.798460314668421,1,13.0,29.1,82,45,29,8,98,0.598,288,267,3.0,1.0,0.28,0.0,3.51,3.26,71,248,28.63,39,234,83.33,5,6,11.0,11.0,2401,12.0,2430,0.89,4,0,1,0,0,0,0,0,0,0,0
New York Rangers,Vegas Golden Knights,1.0,29.1,82,55,23,4,114,0.695,278,226,4.0,3.0,0.61,-0.03,3.39,2.76,65,246,26.42,36,232,84.48,8,6,9.4,10.4,2582,10.8,2418,0.907,6,0,18006,9.798460314668421,1,14.0,29.0,82,45,29,8,98,0.598,263,243,4.0,2.0,0.22,-0.05,3.21,2.96,51,252,20.24,44,213,79.34,9,8,7.4,8.5,2548,10.3,2487,0.902,3,0,0,0,0,0,0,0,0,0,0
New York Rangers,New York Islanders,1.0,29.1,82,55,23,4,114,0.695,278,226,4.0,3.0,0.61,-0.03,3.39,2.76,65,246,26.42,36,232,84.48,8,6,9.4,10.4,2582,10.8,2418,0.907,6,0,18006,9.798460314668421,1,15.0,29.6,82,39,27,16,94,0.573,245,258,1.0,5.0,-0.18,0.03,2.99,3.15,47,231,20.35,63,221,71.49,10,3,7.1,7.4,2470,9.9,2686,0.904,5,0,0,0,0,0,0,0,0,0,1
New York Rangers,St. Louis Blues,1.0,29.1,82,55,23,4,114,0.695,278,226,4.0,3.0,0.61,-0.03,3.39,2.76,65,246,26.42,36,232,84.48,8,6,9.4,10.4,2582,10.8,2418,0.907,6,0,18006,9.798460314668421,1,16.0,29.0,82,43,33,6,92,0.561,234,248,5.0,2.0,-0.14,-0.01,2.85,3.02,45,250,18.0,46,215,78.6,11,7,7.4,8.6,2370,9.9,2636,0.906,4,0,0,0,0,0,0,0,0,0,0
New York Rangers,Washington Capitals,1.0,29.1,82,55,23,4,114,0.695,278,226,4.0,3.0,0.61,-0.03,3.39,2.76,65,246,26.42,36,232,84.48,8,6,9.4,10.4,2582,10.8,2418,0.907,6,0,18006,9.798460314668421,1,17.0,30.0,82,40,31,11,91,0.555,216,252,4.0,5.0,-0.41,0.04,2.63,3.07,47,228,20.61,49,233,78.97,3,5,7.7,7.4,2172,9.9,2503,0.899,7,0,0,0,0,0,0,0,0,0,1
