Date,Time,Visitor,G_Visitor,Home,G_Home,OT_SO,Attendance,LOG,Notes,Day
2013-10-01,20:00:00,Washington Capitals,4,Chicago Blackhawks,6,,22158,,,Tuesday
2013-10-01,22:00:00,Winnipeg Jets,5,Edmonton Oilers,4,,16839,,,Tuesday
2013-10-01,19:00:00,Toronto Maple Leafs,4,Montreal Canadiens,3,,21273,,,Tuesday
2013-10-02,21:30:00,Anaheim Ducks,1,Colorado Avalanche,6,,18007,,,Wednesday
2013-10-02,20:00:00,Buffalo Sabres,1,Detroit Red Wings,2,,20066,,,Wednesday
2013-10-02,19:30:00,Toronto Maple Leafs,3,Philadelphia Flyers,1,,19872,,,Wednesday
2013-10-03,19:00:00,Tampa Bay Lightning,1,Boston Bruins,3,,17565,,,Thursday
2013-10-03,20:30:00,Florida Panthers,4,Dallas Stars,2,,16100,,,Thursday
2013-10-03,20:00:00,Los Angeles Kings,3,Minnesota Wild,2,SO,18511,,,Thursday
2013-10-03,22:00:00,New York Rangers,1,Phoenix Coyotes,4,,17125,,,Thursday
2013-10-03,19:00:00,New Jersey Devils,0,Pittsburgh Penguins,3,,18621,,,Thursday
2013-10-03,22:00:00,Vancouver Canucks,1,San Jose Sharks,4,,17562,,,Thursday
2013-10-03,20:30:00,Nashville Predators,2,St. Louis Blues,4,,18851,,,Thursday
2013-10-03,19:00:00,Calgary Flames,4,Washington Capitals,5,SO,18506,,,Thursday
2013-10-04,19:00:00,Ottawa Senators,1,Buffalo Sabres,0,,19070,,,Friday
2013-10-04,19:00:00,Detroit Red Wings,3,Carolina Hurricanes,2,OT,18680,,,Friday
2013-10-04,19:00:00,Calgary Flames,4,Columbus Blue Jackets,3,,18151,,,Friday
2013-10-04,21:00:00,Nashville Predators,1,Colorado Avalanche,3,,14494,,,Friday
2013-10-04,19:00:00,New York Islanders,4,New Jersey Devils,3,SO,16624,,,Friday
2013-10-04,20:00:00,Los Angeles Kings,3,Winnipeg Jets,5,,15004,,,Friday
2013-10-05,19:00:00,Detroit Red Wings,1,Boston Bruins,4,,17565,,,Saturday
2013-10-05,20:00:00,Tampa Bay Lightning,3,Chicago Blackhawks,2,SO,21563,,,Saturday
2013-10-05,20:00:00,Washington Capitals,1,Dallas Stars,2,,17200,,,Saturday
2013-10-05,20:00:00,Anaheim Ducks,4,Minnesota Wild,3,OT,18213,,,Saturday
2013-10-05,19:00:00,Philadelphia Flyers,1,Montreal Canadiens,4,,21273,,,Saturday
2013-10-05,19:00:00,Columbus Blue Jackets,3,New York Islanders,2,SO,16170,,,Saturday
2013-10-05,19:00:00,Buffalo Sabres,1,Pittsburgh Penguins,4,,18641,,,Saturday
2013-10-05,22:30:00,Phoenix Coyotes,1,San Jose Sharks,4,,17562,,,Saturday
2013-10-05,20:00:00,Florida Panthers,0,St. Louis Blues,7,,16264,,,Saturday
2013-10-05,19:00:00,Ottawa Senators,4,Toronto Maple Leafs,5,SO,19552,,,Saturday
2013-10-05,22:00:00,Edmonton Oilers,2,Vancouver Canucks,6,,18910,,,Saturday
2013-10-06,17:00:00,Philadelphia Flyers,1,Carolina Hurricanes,2,,16088,,,Sunday
2013-10-06,20:00:00,Vancouver Canucks,5,Calgary Flames,4,OT,19289,,,Sunday
2013-10-06,20:00:00,Anaheim Ducks,3,Winnipeg Jets,2,,15004,,,Sunday
2013-10-07,21:30:00,New Jersey Devils,4,Edmonton Oilers,5,SO,16839,,,Monday
2013-10-07,22:30:00,New York Rangers,3,Los Angeles Kings,1,,18118,,,Monday
2013-10-08,19:30:00,Tampa Bay Lightning,3,Buffalo Sabres,2,OT,18243,,,Tuesday
2013-10-08,20:00:00,Minnesota Wild,2,Nashville Predators,3,,17196,,,Tuesday
2013-10-08,19:00:00,Phoenix Coyotes,1,New York Islanders,6,,10288,,,Tuesday
2013-10-08,19:00:00,Florida Panthers,1,Philadelphia Flyers,2,,19589,,,Tuesday
2013-10-08,19:00:00,Carolina Hurricanes,2,Pittsburgh Penguins,5,,18451,,,Tuesday
2013-10-08,22:30:00,New York Rangers,2,San Jose Sharks,9,,17562,,,Tuesday
2013-10-08,19:00:00,Colorado Avalanche,2,Toronto Maple Leafs,1,,19388,,,Tuesday
2013-10-08,22:00:00,New Jersey Devils,2,Vancouver Canucks,3,OT,18910,,,Tuesday
2013-10-09,20:00:00,Montreal Canadiens,2,Calgary Flames,3,,19289,,,Wednesday
2013-10-09,22:30:00,Ottawa Senators,3,Los Angeles Kings,4,OT,18118,,,Wednesday
2013-10-09,20:00:00,Chicago Blackhawks,2,St. Louis Blues,3,,16565,,,Wednesday
2013-10-10,22:00:00,New York Rangers,0,Anaheim Ducks,6,,17179,,,Thursday
2013-10-10,19:00:00,Colorado Avalanche,2,Boston Bruins,0,,17565,,,Thursday
2013-10-10,19:00:00,Columbus Blue Jackets,4,Buffalo Sabres,1,,18210,,,Thursday
2013-10-10,19:30:00,Phoenix Coyotes,4,Detroit Red Wings,2,,20066,,,Thursday
