Date,Time,Visitor,G_Visitor,Home,G_Home,OT_SO,Attendance,LOG,Notes,Day
2023-10-10,20:00:00,Chicago Blackhawks,4,Pittsburgh Penguins,2,,18411,2:34,,Tuesday
2023-10-10,17:30:00,Nashville Predators,3,Tampa Bay Lightning,5,,19092,2:33,,Tuesday
2023-10-10,22:30:00,Seattle Kraken,1,Vegas Golden Knights,4,,18724,2:22,,Tuesday
2023-10-11,19:30:00,Chicago Blackhawks,1,Boston Bruins,3,,17850,2:29,,Wednesday
2023-10-11,19:00:00,Ottawa Senators,3,Carolina Hurricanes,5,,18893,2:33,,Wednesday
2023-10-11,22:00:00,Winnipeg Jets,3,Calgary Flames,5,,17414,2:32,,Wednesday
2023-10-11,22:00:00,Colorado Avalanche,5,Los Angeles Kings,2,,18145,2:37,,Wednesday
2023-10-11,19:00:00,Montreal Canadiens,5,Toronto Maple Leafs,6,SO,18948,2:46,,Wednesday
2023-10-11,22:00:00,Edmonton Oilers,1,Vancouver Canucks,8,,18706,2:33,,Wednesday
2023-10-12,19:00:00,New York Rangers,5,Buffalo Sabres,1,,19070,2:26,,Thursday
2023-10-12,19:00:00,Philadelphia Flyers,4,Columbus Blue Jackets,2,,18614,2:26,,Thursday
2023-10-12,20:00:00,St. Louis Blues,1,Dallas Stars,2,SO,18532,2:40,,Thursday
2023-10-12,20:00:00,Florida Panthers,0,Minnesota Wild,2,,18976,2:37,,Thursday
2023-10-12,19:30:00,Detroit Red Wings,3,New Jersey Devils,4,,16514,2:29,,Thursday
2023-10-12,20:00:00,Seattle Kraken,0,Nashville Predators,3,,17629,2:21,,Thursday
2023-10-12,22:30:00,Vegas Golden Knights,4,San Jose Sharks,1,,17435,2:28,,Thursday
2023-10-13,19:00:00,Arizona Coyotes,4,New Jersey Devils,3,SO,16514,2:43,,Friday
2023-10-13,19:30:00,Pittsburgh Penguins,4,Washington Capitals,0,,18573,2:34,,Friday
2023-10-14,19:00:00,Nashville Predators,2,Boston Bruins,3,,17850,2:33,,Saturday
2023-10-14,19:00:00,New York Rangers,3,Columbus Blue Jackets,5,,16520,2:34,,Saturday
2023-10-14,19:00:00,Tampa Bay Lightning,4,Detroit Red Wings,6,,19515,2:28,,Saturday
2023-10-14,22:00:00,Vancouver Canucks,4,Edmonton Oilers,3,,18347,2:30,,Saturday
2023-10-14,22:30:00,Carolina Hurricanes,6,Los Angeles Kings,5,SO,17517,2:57,,Saturday
2023-10-14,19:00:00,Chicago Blackhawks,2,Montreal Canadiens,3,,21105,2:26,,Saturday
2023-10-14,19:30:00,Buffalo Sabres,2,New York Islanders,3,,17255,2:29,,Saturday
2023-10-14,13:00:00,Philadelphia Flyers,2,Ottawa Senators,5,,20011,2:30,,Saturday
2023-10-14,19:00:00,Calgary Flames,2,Pittsburgh Penguins,5,,17635,2:30,,Saturday
2023-10-14,22:00:00,Colorado Avalanche,2,San Jose Sharks,1,SO,17435,2:46,,Saturday
2023-10-14,20:00:00,Seattle Kraken,1,St. Louis Blues,2,SO,18096,2:33,,Saturday
2023-10-14,19:00:00,Minnesota Wild,4,Toronto Maple Leafs,7,,18903,2:36,,Saturday
2023-10-14,22:00:00,Anaheim Ducks,1,Vegas Golden Knights,4,,18033,2:35,,Saturday
2023-10-14,16:00:00,Florida Panthers,4,Winnipeg Jets,6,,13410,2:32,,Saturday
2023-10-15,20:30:00,Carolina Hurricanes,3,Anaheim Ducks,6,,17278,2:32,,Sunday
2023-10-15,19:00:00,Tampa Bay Lightning,2,Ottawa Senators,5,,15584,2:27,,Sunday
2023-10-16,19:00:00,Detroit Red Wings,4,Columbus Blue Jackets,0,,14959,2:25,,Monday
2023-10-16,19:00:00,Florida Panthers,4,New Jersey Devils,3,,15023,2:30,,Monday
2023-10-16,19:00:00,Arizona Coyotes,1,New York Rangers,2,,18006,2:29,,Monday
2023-10-16,19:00:00,Chicago Blackhawks,4,Toronto Maple Leafs,1,,19101,2:37,,Monday
2023-10-16,19:00:00,Calgary Flames,2,Washington Capitals,3,SO,16489,2:43,,Monday
2023-10-17,19:30:00,Tampa Bay Lightning,2,Buffalo Sabres,3,OT,12598,2:27,,Tuesday
2023-10-17,19:00:00,Minnesota Wild,5,Montreal Canadiens,2,,21105,2:36,,Tuesday
2023-10-17,20:00:00,Edmonton Oilers,6,Nashville Predators,1,,17216,2:27,,Tuesday
2023-10-17,19:30:00,Arizona Coyotes,0,New York Islanders,1,,14456,2:22,,Tuesday
2023-10-17,18:00:00,Vancouver Canucks,0,Philadelphia Flyers,2,,18883,2:28,,Tuesday
2023-10-17,22:00:00,Colorado Avalanche,4,Seattle Kraken,1,,17151,2:35,,Tuesday
2023-10-17,22:30:00,Carolina Hurricanes,6,San Jose Sharks,3,,10378,2:33,,Tuesday
2023-10-17,22:30:00,Dallas Stars,2,Vegas Golden Knights,3,SO,17612,2:47,,Tuesday
2023-10-17,20:00:00,Los Angeles Kings,5,Winnipeg Jets,1,,11226,2:24,,Tuesday
2023-10-18,19:30:00,Pittsburgh Penguins,3,Detroit Red Wings,6,,18895,2:31,,Wednesday
2023-10-18,19:00:00,Washington Capitals,1,Ottawa Senators,6,,15021,2:31,,Wednesday
2023-10-19,22:00:00,Dallas Stars,3,Anaheim Ducks,2,,14274,2:23,,Thursday
2023-10-19,19:00:00,Calgary Flames,4,Buffalo Sabres,3,,13025,2:34,,Thursday
2023-10-19,22:30:00,Chicago Blackhawks,0,Colorado Avalanche,4,,18140,2:24,,Thursday
2023-10-19,19:00:00,Toronto Maple Leafs,1,Florida Panthers,3,,19288,2:30,,Thursday
2023-10-19,20:00:00,Los Angeles Kings,7,Minnesota Wild,3,,18689,2:35,,Thursday
2023-10-19,19:00:00,Nashville Predators,4,New York Rangers,1,,18006,2:24,,Thursday
2023-10-19,19:30:00,Edmonton Oilers,1,Philadelphia Flyers,4,,17590,2:29,,Thursday
2023-10-19,22:00:00,Carolina Hurricanes,4,Seattle Kraken,7,,17151,2:36,,Thursday
2023-10-19,22:30:00,Boston Bruins,3,San Jose Sharks,1,,12501,2:30,,Thursday
2023-10-19,20:00:00,Arizona Coyotes,6,St. Louis Blues,2,,18096,2:35,,Thursday
2023-10-19,19:00:00,Vancouver Canucks,3,Tampa Bay Lightning,4,,19092,2:32,,Thursday
2023-10-19,20:00:00,Vegas Golden Knights,5,Winnipeg Jets,3,,11521,2:18,,Thursday
2023-10-20,19:00:00,Calgary Flames,1,Columbus Blue Jackets,3,,16276,2:25,,Friday
2023-10-20,19:30:00,New Jersey Devils,5,New York Islanders,4,OT,17255,2:33,,Friday
2023-10-21,16:00:00,Anaheim Ducks,1,Arizona Coyotes,2,,4600,2:30,,Saturday
2023-10-21,19:00:00,New York Islanders,1,Buffalo Sabres,3,,16179,2:27,,Saturday
2023-10-21,20:00:00,Vegas Golden Knights,5,Chicago Blackhawks,3,,19867,2:27,,Saturday
2023-10-21,21:00:00,Carolina Hurricanes,4,Colorado Avalanche,6,,18131,2:32,,Saturday
2023-10-21,20:00:00,Philadelphia Flyers,4,Dallas Stars,5,OT,18532,2:34,,Saturday
2023-10-21,22:00:00,Winnipeg Jets,3,Edmonton Oilers,2,OT,18347,2:40,,Saturday
2023-10-21,19:00:00,Vancouver Canucks,5,Florida Panthers,3,,16991,2:24,,Saturday
2023-10-21,22:30:00,Boston Bruins,4,Los Angeles Kings,2,,18145,2:44,,Saturday
2023-10-21,20:00:00,Columbus Blue Jackets,5,Minnesota Wild,4,OT,18479,2:39,,Saturday
2023-10-21,19:00:00,Washington Capitals,2,Montreal Canadiens,3,OT,21105,2:31,,Saturday
2023-10-21,20:00:00,San Jose Sharks,1,Nashville Predators,5,,17222,2:28,,Saturday
2023-10-21,13:00:00,Detroit Red Wings,5,Ottawa Senators,2,,18834,2:31,,Saturday
2023-10-21,22:00:00,New York Rangers,4,Seattle Kraken,1,,17151,2:38,,Saturday
2023-10-21,20:00:00,Pittsburgh Penguins,2,St. Louis Blues,4,,18096,2:21,,Saturday
2023-10-21,19:00:00,Toronto Maple Leafs,4,Tampa Bay Lightning,3,OT,19092,2:35,,Saturday
2023-10-22,20:30:00,Boston Bruins,3,Anaheim Ducks,1,,14264,2:26,,Sunday
2023-10-22,17:00:00,Calgary Flames,2,Detroit Red Wings,6,,17626,2:26,,Sunday
2023-10-23,19:00:00,Montreal Canadiens,3,Buffalo Sabres,1,,13507,2:22,,Monday
2023-10-24,20:30:00,Anaheim Ducks,3,Columbus Blue Jackets,2,OT,16432,2:28,,Tuesday
2023-10-24,21:45:00,New York Rangers,3,Calgary Flames,1,,16800,2:25,,Tuesday
