Date,Time,Visitor,G_Visitor,Home,G_Home,OT_SO,Attendance,LOG,Notes,Day
2016-10-12,20:00:00,St. Louis Blues,5,Chicago Blackhawks,2,,21729,2:29,,Wednesday
2016-10-12,22:00:00,Calgary Flames,4,Edmonton Oilers,7,,18347,2:35,,Wednesday
2016-10-12,19:00:00,Toronto Maple Leafs,4,Ottawa Senators,5,OT,17618,2:36,,Wednesday
2016-10-12,22:30:00,Los Angeles Kings,1,San Jose Sharks,2,,17562,2:29,,Wednesday
2016-10-13,19:00:00,Montreal Canadiens,4,Buffalo Sabres,1,,19070,2:44,,Thursday
2016-10-13,19:00:00,Boston Bruins,6,Columbus Blue Jackets,3,,18144,2:29,,Thursday
2016-10-13,20:30:00,Anaheim Ducks,2,Dallas Stars,4,,18532,2:30,,Thursday
2016-10-13,19:30:00,New Jersey Devils,1,Florida Panthers,2,OT,17128,2:36,,Thursday
2016-10-13,19:00:00,New York Islanders,3,New York Rangers,5,,18200,2:29,,Thursday
2016-10-13,20:00:00,Washington Capitals,2,Pittsburgh Penguins,3,SO,18630,2:50,,Thursday
2016-10-13,20:00:00,Minnesota Wild,2,St. Louis Blues,3,,19673,2:29,,Thursday
2016-10-13,19:30:00,Detroit Red Wings,4,Tampa Bay Lightning,6,,19092,2:47,,Thursday
2016-10-13,20:00:00,Carolina Hurricanes,4,Winnipeg Jets,5,OT,15296,2:32,,Thursday
2016-10-14,21:00:00,Edmonton Oilers,5,Calgary Flames,3,,19289,2:28,,Friday
2016-10-14,22:30:00,Philadelphia Flyers,4,Los Angeles Kings,2,,18453,2:31,,Friday
2016-10-14,20:00:00,Chicago Blackhawks,2,Nashville Predators,3,,17256,2:35,,Friday
2016-10-15,21:00:00,Philadelphia Flyers,3,Arizona Coyotes,4,OT,17125,2:39,,Saturday
2016-10-15,19:00:00,San Jose Sharks,3,Columbus Blue Jackets,2,,16546,2:24,,Saturday
2016-10-15,20:30:00,Nashville Predators,3,Chicago Blackhawks,5,,21665,2:29,,Saturday
