Date,Time,Visitor,G_Visitor,Home,G_Home,OT_SO,Attendance,LOG,Notes,Day
2022-10-07,14:00:00,San Jose Sharks,1,Nashville Predators,4,,16648,2:43,"at O2 Arena (Prague, CZ)",Friday
2022-10-08,14:00:00,Nashville Predators,3,San Jose Sharks,2,,17023,2:33,"at O2 Arena (Prague, CZ)",Saturday
2022-10-11,22:00:00,Vegas Golden Knights,4,Los Angeles Kings,3,,18230,2:31,,Tuesday
2022-10-11,19:30:00,Tampa Bay Lightning,1,New York Rangers,3,,18006,2:21,,Tuesday
2022-10-12,22:00:00,Seattle Kraken,4,Anaheim Ducks,5,OT,17530,2:28,,Wednesday
2022-10-12,19:00:00,Columbus Blue Jackets,1,Carolina Hurricanes,4,,18824,2:37,,Wednesday
2022-10-12,21:30:00,Chicago Blackhawks,2,Colorado Avalanche,5,,18143,2:19,,Wednesday
2022-10-12,22:00:00,Vancouver Canucks,3,Edmonton Oilers,5,,18347,2:41,,Wednesday
2022-10-12,19:00:00,Toronto Maple Leafs,3,Montreal Canadiens,4,,21105,2:30,,Wednesday
2022-10-12,19:00:00,Boston Bruins,5,Washington Capitals,2,,18573,2:28,,Wednesday
2022-10-13,19:00:00,Ottawa Senators,1,Buffalo Sabres,4,,15364,2:21,,Thursday
2022-10-13,21:30:00,Colorado Avalanche,3,Calgary Flames,5,,19289,2:35,,Thursday
2022-10-13,22:30:00,Seattle Kraken,4,Los Angeles Kings,1,,15645,2:28,,Thursday
2022-10-13,20:00:00,New York Rangers,7,Minnesota Wild,3,,18612,2:31,,Thursday
2022-10-13,20:30:00,Dallas Stars,4,Nashville Predators,1,,17692,2:26,,Thursday
2022-10-13,19:30:00,Florida Panthers,3,New York Islanders,1,,17255,2:36,,Thursday
2022-10-13,19:00:00,New Jersey Devils,2,Philadelphia Flyers,5,,19107,2:34,,Thursday
2022-10-13,19:00:00,Arizona Coyotes,2,Pittsburgh Penguins,6,,18355,2:34,,Thursday
2022-10-13,19:30:00,Washington Capitals,2,Toronto Maple Leafs,3,,18914,2:31,,Thursday
2022-10-13,22:00:00,Chicago Blackhawks,0,Vegas Golden Knights,1,,18467,2:27,,Thursday
2022-10-14,19:00:00,Tampa Bay Lightning,5,Columbus Blue Jackets,2,,18889,2:25,,Friday
2022-10-14,19:00:00,Montreal Canadiens,0,Detroit Red Wings,3,,19515,2:30,,Friday
2022-10-14,22:30:00,Carolina Hurricanes,2,San Jose Sharks,1,,17562,2:27,,Friday
2022-10-14,20:00:00,New York Rangers,1,Winnipeg Jets,4,,14553,2:26,,Friday
2022-10-15,19:00:00,Arizona Coyotes,3,Boston Bruins,6,,17850,2:33,,Saturday
2022-10-15,13:00:00,Florida Panthers,4,Buffalo Sabres,3,,11481,2:30,,Saturday
2022-10-15,20:00:00,Nashville Predators,1,Dallas Stars,5,,18532,2:30,,Saturday
2022-10-15,22:00:00,Calgary Flames,4,Edmonton Oilers,3,,18347,2:35,,Saturday
2022-10-15,20:00:00,Los Angeles Kings,7,Minnesota Wild,6,,18421,2:44,,Saturday
2022-10-15,19:00:00,Detroit Red Wings,5,New Jersey Devils,2,,16514,2:25,,Saturday
2022-10-15,19:30:00,Anaheim Ducks,1,New York Islanders,7,,16487,2:32,,Saturday
2022-10-15,16:00:00,Vancouver Canucks,2,Philadelphia Flyers,3,,14837,2:27,,Saturday
2022-10-15,19:00:00,Tampa Bay Lightning,2,Pittsburgh Penguins,6,,18416,2:25,,Saturday
2022-10-15,22:00:00,Vegas Golden Knights,5,Seattle Kraken,2,,17151,2:32,,Saturday
2022-10-15,22:00:00,Chicago Blackhawks,5,San Jose Sharks,2,,15219,2:22,,Saturday
2022-10-15,20:00:00,Columbus Blue Jackets,2,St. Louis Blues,5,,18096,2:19,,Saturday
2022-10-15,19:00:00,Ottawa Senators,2,Toronto Maple Leafs,3,,18709,2:28,,Saturday
2022-10-15,19:00:00,Montreal Canadiens,1,Washington Capitals,3,,18573,2:29,,Saturday
2022-10-17,19:00:00,Florida Panthers,3,Boston Bruins,5,,17850,2:32,,Monday
2022-10-17,20:30:00,Winnipeg Jets,1,Dallas Stars,4,,17875,2:22,,Monday
2022-10-17,19:00:00,Los Angeles Kings,5,Detroit Red Wings,4,OT,15919,2:35,,Monday
2022-10-17,20:00:00,Colorado Avalanche,6,Minnesota Wild,3,,17437,2:36,,Monday
2022-10-17,19:00:00,Pittsburgh Penguins,2,Montreal Canadiens,3,OT,21105,2:32,,Monday
2022-10-17,19:00:00,Anaheim Ducks,4,New York Rangers,6,,18006,2:29,,Monday
2022-10-17,22:00:00,Carolina Hurricanes,5,Seattle Kraken,1,,17151,2:30,,Monday
2022-10-17,19:00:00,Arizona Coyotes,4,Toronto Maple Leafs,2,,18346,2:28,,Monday
2022-10-17,19:00:00,Vancouver Canucks,4,Washington Capitals,6,,18573,2:32,,Monday
2022-10-18,19:00:00,Vancouver Canucks,3,Columbus Blue Jackets,4,OT,14060,2:30,,Tuesday
2022-10-18,21:00:00,Vegas Golden Knights,2,Calgary Flames,3,,16944,2:34,,Tuesday
2022-10-18,21:00:00,Buffalo Sabres,4,Edmonton Oilers,2,,16121,2:35,,Tuesday
2022-10-18,19:00:00,Anaheim Ducks,2,New Jersey Devils,4,,10130,2:29,,Tuesday
2022-10-18,21:30:00,Los Angeles Kings,4,Nashville Predators,3,SO,17159,2:35,,Tuesday
2022-10-18,19:30:00,San Jose Sharks,2,New York Islanders,5,,13892,2:31,,Tuesday
2022-10-18,19:00:00,Boston Bruins,5,Ottawa Senators,7,,19811,2:41,,Tuesday
2022-10-18,19:00:00,Philadelphia Flyers,3,Tampa Bay Lightning,2,,19092,2:31,,Tuesday
2022-10-19,20:00:00,Winnipeg Jets,4,Colorado Avalanche,3,OT,18062,2:26,,Wednesday
2022-10-19,19:30:00,Philadelphia Flyers,3,Florida Panthers,4,,17421,2:38,,Wednesday
2022-10-19,22:00:00,St. Louis Blues,4,Seattle Kraken,3,OT,17151,2:27,,Wednesday
2022-10-20,19:00:00,Anaheim Ducks,1,Boston Bruins,2,SO,17850,2:48,,Thursday
2022-10-20,19:00:00,Nashville Predators,3,Columbus Blue Jackets,5,,14691,2:37,,Thursday
2022-10-20,21:30:00,Buffalo Sabres,6,Calgary Flames,3,,17080,2:28,,Thursday
2022-10-20,21:00:00,Carolina Hurricanes,4,Edmonton Oilers,6,,16023,2:38,,Thursday
2022-10-20,20:00:00,Vancouver Canucks,3,Minnesota Wild,4,OT,17323,2:29,,Thursday
2022-10-20,19:00:00,Arizona Coyotes,2,Montreal Canadiens,6,,20691,2:28,,Thursday
2022-10-20,19:30:00,New Jersey Devils,4,New York Islanders,1,,16046,2:22,,Thursday
