Date,Time,Visitor,G_Visitor,Home,G_Home,OT_SO,Attendance,LOG,Notes,Day
2021-01-13,22:30:00,St. Louis Blues,4,Colorado Avalanche,1,,,2:24,,Wednesday
2021-01-13,22:00:00,Vancouver Canucks,5,Edmonton Oilers,3,,,2:24,,Wednesday
2021-01-13,17:30:00,Pittsburgh Penguins,3,Philadelphia Flyers,6,,,2:21,,Wednesday
2021-01-13,20:00:00,Chicago Blackhawks,1,Tampa Bay Lightning,5,,,2:26,,Wednesday
2021-01-13,19:00:00,Montreal Canadiens,4,Toronto Maple Leafs,5,OT,,2:38,,Wednesday
2021-01-14,21:00:00,San Jose Sharks,4,Arizona Coyotes,3,SO,2274.0,2:37,,Thursday
2021-01-14,19:00:00,Washington Capitals,6,Buffalo Sabres,4,,,2:23,,Thursday
2021-01-14,19:30:00,Carolina Hurricanes,3,Detroit Red Wings,0,,,2:25,,Thursday
2021-01-14,21:00:00,Vancouver Canucks,2,Edmonton Oilers,5,,,2:30,,Thursday
2021-01-14,22:00:00,Minnesota Wild,4,Los Angeles Kings,3,OT,,2:37,,Thursday
2021-01-14,19:00:00,Boston Bruins,3,New Jersey Devils,2,SO,,2:43,,Thursday
2021-01-14,20:00:00,Columbus Blue Jackets,1,Nashville Predators,3,,,2:29,,Thursday
2021-01-14,19:00:00,New York Islanders,4,New York Rangers,0,,,2:30,,Thursday
2021-01-14,22:00:00,Anaheim Ducks,2,Vegas Golden Knights,5,,,2:24,,Thursday
2021-01-14,20:00:00,Calgary Flames,3,Winnipeg Jets,4,OT,,2:26,,Thursday
2021-01-15,19:00:00,Washington Capitals,2,Buffalo Sabres,1,,,2:17,,Friday
2021-01-15,21:00:00,St. Louis Blues,0,Colorado Avalanche,8,,,2:31,,Friday
2021-01-15,19:00:00,Toronto Maple Leafs,3,Ottawa Senators,5,,,2:28,,Friday
2021-01-15,19:00:00,Pittsburgh Penguins,2,Philadelphia Flyers,5,,,2:23,,Friday
2021-01-15,19:00:00,Chicago Blackhawks,2,Tampa Bay Lightning,5,,,2:23,,Friday
2021-01-16,16:00:00,San Jose Sharks,3,Arizona Coyotes,5,,2384.0,2:22,,Saturday
2021-01-16,22:00:00,Vancouver Canucks,0,Calgary Flames,3,,,2:24,,Saturday
2021-01-16,19:00:00,Carolina Hurricanes,2,Detroit Red Wings,4,,,2:28,,Saturday
2021-01-16,19:00:00,Montreal Canadiens,5,Edmonton Oilers,1,,,2:20,,Saturday
2021-01-16,21:00:00,Minnesota Wild,4,Los Angeles Kings,3,OT,,2:42,,Saturday
2021-01-16,13:00:00,Boston Bruins,1,New Jersey Devils,2,OT,,2:34,,Saturday
2021-01-16,20:00:00,Columbus Blue Jackets,2,Nashville Predators,5,,,2:28,,Saturday
2021-01-16,19:00:00,New York Islanders,0,New York Rangers,5,,,2:41,,Saturday
2021-01-16,19:00:00,Toronto Maple Leafs,3,Ottawa Senators,2,,,2:23,,Saturday
2021-01-16,22:00:00,Anaheim Ducks,1,Vegas Golden Knights,2,OT,,2:18,,Saturday
2021-01-17,19:00:00,Chicago Blackhawks,2,Florida Panthers,5,,4147.0,2:27,,Sunday
2021-01-17,12:00:00,Washington Capitals,3,Pittsburgh Penguins,4,SO,,2:40,,Sunday
2021-01-18,21:00:00,Minnesota Wild,0,Anaheim Ducks,1,,,2:28,,Monday
2021-01-18,21:00:00,Vancouver Canucks,2,Calgary Flames,5,,,2:21,,Monday
2021-01-18,12:00:00,Columbus Blue Jackets,3,Detroit Red Wings,2,,,2:37,,Monday
2021-01-18,21:00:00,Montreal Canadiens,3,Edmonton Oilers,1,,,2:26,,Monday
2021-01-18,20:00:00,Carolina Hurricanes,4,Nashville Predators,2,,,2:22,,Monday
2021-01-18,17:00:00,Boston Bruins,0,New York Islanders,1,,,2:26,,Monday
2021-01-18,19:30:00,Buffalo Sabres,6,Philadelphia Flyers,1,,,2:26,,Monday
2021-01-18,20:00:00,San Jose Sharks,4,St. Louis Blues,5,,,2:32,,Monday
2021-01-18,19:00:00,Winnipeg Jets,1,Toronto Maple Leafs,3,,,2:20,,Monday
2021-01-18,22:00:00,Arizona Coyotes,2,Vegas Golden Knights,4,,,2:33,,Monday
2021-01-19,19:30:00,Columbus Blue Jackets,2,Detroit Red Wings,3,OT,,2:21,,Tuesday
2021-01-19,19:00:00,Chicago Blackhawks,4,Florida Panthers,5,OT,3667.0,2:34,,Tuesday
2021-01-19,22:00:00,Colorado Avalanche,3,Los Angeles Kings,2,,,2:27,,Tuesday
2021-01-19,19:00:00,New Jersey Devils,4,New York Rangers,3,,,2:30,,Tuesday
2021-01-19,19:00:00,Winnipeg Jets,4,Ottawa Senators,3,OT,,2:29,,Tuesday
2021-01-19,19:00:00,Buffalo Sabres,0,Philadelphia Flyers,3,,,2:29,,Tuesday
2021-01-19,19:00:00,Washington Capitals,4,Pittsburgh Penguins,5,OT,,2:34,,Tuesday
2021-01-20,21:30:00,Minnesota Wild,3,Anaheim Ducks,2,,,2:33,,Wednesday
2021-01-20,21:00:00,San Jose Sharks,2,St. Louis Blues,1,SO,,2:36,,Wednesday
2021-01-20,19:00:00,Edmonton Oilers,3,Toronto Maple Leafs,1,,,2:17,,Wednesday
2021-01-20,22:00:00,Montreal Canadiens,5,Vancouver Canucks,6,SO,,2:31,,Wednesday
2021-01-20,22:00:00,Arizona Coyotes,2,Vegas Golden Knights,5,,,2:24,,Wednesday
