Date,Time,Visitor,G_Visitor,Home,G_Home,OT_SO,Attendance,LOG,Notes,Day
2013-01-19,19:00:00,New York Rangers,1,Boston Bruins,3,,17565,,,Saturday
2013-01-19,20:00:00,Phoenix Coyotes,3,Dallas Stars,4,,18532,,,Saturday
2013-01-19,19:30:00,Carolina Hurricanes,1,Florida Panthers,5,,19688,,,Saturday
2013-01-19,15:00:00,Chicago Blackhawks,5,Los Angeles Kings,2,,18545,,,Saturday
2013-01-19,21:00:00,Colorado Avalanche,2,Minnesota Wild,4,,19298,,,Saturday
2013-01-19,19:00:00,Toronto Maple Leafs,2,Montreal Canadiens,1,,21273,,,Saturday
2013-01-19,20:00:00,Columbus Blue Jackets,3,Nashville Predators,2,SO,17113,,,Saturday
2013-01-19,19:00:00,New Jersey Devils,2,New York Islanders,1,,16170,,,Saturday
2013-01-19,15:00:00,Pittsburgh Penguins,3,Philadelphia Flyers,1,,19994,,,Saturday
2013-01-19,20:00:00,Detroit Red Wings,0,St. Louis Blues,6,,20035,,,Saturday
2013-01-19,19:00:00,Washington Capitals,3,Tampa Bay Lightning,6,,19204,,,Saturday
2013-01-19,22:00:00,Anaheim Ducks,7,Vancouver Canucks,3,,18910,,,Saturday
2013-01-19,15:00:00,Ottawa Senators,4,Winnipeg Jets,1,,15004,,,Saturday
2013-01-20,12:30:00,Philadelphia Flyers,2,Buffalo Sabres,5,,19070,,,Sunday
2013-01-20,18:00:00,San Jose Sharks,4,Calgary Flames,1,,19289,,,Sunday
2013-01-20,20:00:00,Dallas Stars,0,Minnesota Wild,1,,18296,,,Sunday
2013-01-20,19:00:00,Pittsburgh Penguins,6,New York Rangers,3,,17200,,,Sunday
2013-01-20,22:00:00,Chicago Blackhawks,6,Phoenix Coyotes,4,,17363,,,Sunday
2013-01-20,21:00:00,Edmonton Oilers,3,Vancouver Canucks,2,SO,18910,,,Sunday
2013-01-21,13:00:00,Winnipeg Jets,1,Boston Bruins,2,SO,17565,,,Monday
2013-01-21,19:30:00,Detroit Red Wings,4,Columbus Blue Jackets,3,SO,19206,,,Monday
2013-01-21,21:00:00,Anaheim Ducks,5,Calgary Flames,4,,19289,,,Monday
2013-01-21,18:00:00,St. Louis Blues,4,Nashville Predators,3,SO,17113,,,Monday
2013-01-21,13:00:00,Tampa Bay Lightning,3,New York Islanders,4,,15322,,,Monday
2013-01-21,19:30:00,Florida Panthers,0,Ottawa Senators,4,,19952,,,Monday
2013-01-21,19:00:00,Buffalo Sabres,2,Toronto Maple Leafs,1,,19475,,,Monday
2013-01-22,19:00:00,Tampa Bay Lightning,4,Carolina Hurricanes,1,,18680,,,Tuesday
2013-01-22,20:30:00,St. Louis Blues,2,Chicago Blackhawks,3,,21455,,,Tuesday
2013-01-22,21:00:00,Los Angeles Kings,1,Colorado Avalanche,3,,18007,,,Tuesday
2013-01-22,19:30:00,Dallas Stars,2,Detroit Red Wings,1,,20066,,,Tuesday
2013-01-22,22:00:00,San Jose Sharks,6,Edmonton Oilers,3,,16839,,,Tuesday
2013-01-22,20:00:00,Nashville Predators,3,Minnesota Wild,1,,17540,,,Tuesday
2013-01-22,19:30:00,Florida Panthers,1,Montreal Canadiens,4,,21273,,,Tuesday
2013-01-22,19:30:00,Philadelphia Flyers,0,New Jersey Devils,3,,17625,,,Tuesday
2013-01-22,19:00:00,Winnipeg Jets,4,Washington Capitals,2,,18506,,,Tuesday
2013-01-23,19:30:00,Boston Bruins,3,New York Rangers,4,OT,17200,,,Wednesday
2013-01-23,22:00:00,Columbus Blue Jackets,1,Phoenix Coyotes,5,,8355,,,Wednesday
2013-01-23,19:00:00,Toronto Maple Leafs,5,Pittsburgh Penguins,2,,18641,,,Wednesday
2013-01-23,22:00:00,Calgary Flames,2,Vancouver Canucks,3,SO,19810,,,Wednesday
2013-01-24,19:00:00,Buffalo Sabres,3,Carolina Hurricanes,6,,18081,,,Thursday
2013-01-24,21:00:00,Columbus Blue Jackets,0,Colorado Avalanche,4,,14325,,,Thursday
2013-01-24,20:30:00,Chicago Blackhawks,3,Dallas Stars,2,OT,17868,,,Thursday
2013-01-24,21:30:00,Los Angeles Kings,1,Edmonton Oilers,2,OT,16839,,,Thursday
